"Authors","Article Title","Source Title","Publication Year","DOI","Document Type","Institution Address","Institution","Country"
"Pineda-Lazaro, Alexandra Jherina; Vallejos-Tapullima, Adela; Hernandez-Amasifuen, Angel David; Carballar-Hernandez, Santos; Iman-Correa, Sixto; Carvajal-Vallejos, Fernando Marcelo; Rios-Ramirez, Orlando; Corazon-Guivin, Mike Anderson","Arbuscular Mycorrhizal Fungi Associated with Myrciaria dubia in the Amazonia Region, Peru","ADVANCES IN AGRICULTURE","2024.0","10.1155/2024/9977517","Article","Univ Nacl San Martin, Lab Biol & Genet Mol, Jr Amorarca 315, Morales 22201, San Martin, PeruUniv Cienega Estado Michoacan Ocampo, Ave Univ 3000,Col Lomas Univ, Sahuayo 59103, Michoacan, MexicoInst Nacl Innovac Agr, Direcc Recursos Genet & Biotecnol, Ave Molina 1981, Lima 15024, PeruUniv Nacl Amazonia Peruana, Ave Grau 1072, Iquitos 16001, Loreto, PeruUniv Mayor San Simon UMSS, Fac Ciencias & Tecnol FCyT, Dept Biol, Unidad Limnol & Recursos Acuat ULRA, Calle Sucre Frente Parque Torre S-N, Cochabamba, Bolivia","Univ Nacl San MartinUniv Cienega Estado Michoacan OcampoInst Nacl Innovac Agr","Peru"
"Rocha, Thiago Moura; Marcelino, Paulo Ricardo Franco; Antunes, Felipe Antonio Fernandes; Sanchez-Munoz, Salvador; dos Santos, Julio Cesar; da Silva, Silvio Silverio","Biocompatibility of Brazilian native yeast-derived sophorolipids and Trichoderma harzianum as plant-growth promoting bioformulations","MICROBIOLOGICAL RESEARCH","2024.0","10.1016/j.micres.2024.127689","Article","Univ Sao Paulo, Engn Sch Lorena, Dept Ind Biotechnol, Lab Bioproc & Sustainable Bioprod Lbios, Sao Paulo, SP, Brazil",NA,"Brazil"
"Marinho, Barbhara Mota; Lescano, Caroline Honaiser; Santos, Sergio Henrique Sousa","Brazilian arnicas: bioactive compounds, pharmacological properties, potential use and clinical applications","PHYTOCHEMISTRY REVIEWS","2024.0","10.1007/s11101-023-09884-x","Review","Univ Estadual Montes Claros Unimontes, Postgrad Program Hlth Sci, Lab Hlth Sci, Montes Claros, MG, BrazilUniv Fed Minas Gerais UFMG, Inst Agr Sci ICA, Food Engn, Ave Univ 1000, BR-39404547 Montes Claros, MG, Brazil","Univ Fed Minas Gerais UFMG","Brazil"
"Moncayo-Molina, Luis; Pino, Jorge A.; Spengler, Iraida; Moncayo-Rivera, Christian M.; Rojas-Molina, Jaime O.","Chemical composition, antioxidant and antimicrobial activities of essential oil from the aerial parts of Chuquiraga arcuata Harling grown in the highlands of Ecuador","BOLETIN LATINOAMERICANO Y DEL CARIBE DE PLANTAS MEDICINALES Y AROMATICAS","2024.0","10.37360/blacpma.24.23.4.41","Article","Univ Catolica Cuenca, Cuenca, EcuadorFood Ind Res Inst, Havana, CubaUniv Havana, Pharm & Food Inst, Havana, CubaUniv Havana, Fac Chem, Ctr Nat Prod Res, Havana, CubaUniv Tecn Cotopaxi, Latacunga, Ecuador","Food Ind Res InstUniv Tecn Cotopaxi","Ecuador"
"Moncayo-Molina, Luis; Pino, Jorge A.; Rojas-Molina, Jaime O.; Spengler, Iraida; Moncayo-Rivera, Christian M.","Chemical composition, antioxidant and antimicrobial activities of Lepechinia rufocampii Epling & Mathias essential oil from the highlands of Ecuador","BOLETIN LATINOAMERICANO Y DEL CARIBE DE PLANTAS MEDICINALES Y AROMATICAS","2024.0","10.37360/blacpma.24.23.5.48","Article","Univ Catolica Cuenca, Cuenca, EcuadorFood Ind Res Inst, Havana, CubaUniv Havana, Pharm & Food Inst, Havana, CubaUniv Tecn Cotopaxi, Latacunga, EcuadorUniv Havana, Fac Chem, Ctr Nat Prod Res, Havana, Cuba","Food Ind Res InstUniv Tecn Cotopaxi","Ecuador"
"de Barros, Vinicius Monteagudo; da Rocha, Bruna Seixas; Rhoden, Jaqueline; Stein, Janaina Franciele; Picoli, Simone Ulrich; Rigotto, Caroline","Detection of metallo-beta-lactamase-producing genes blaSPM and blaNDM in Pseudomonas aeruginosa isolated from wastewater in Southern Brazil","JOURNAL OF WATER AND HEALTH","2024.0","10.2166/wh.2024.305","Article","Feevale Univ, Inst Hlth Sci, Mol Microbiol Lab, Red Bldg 2nd Floor,Room 205,RS 239,2755 Vila Nova, BR-93352000 Novo Hamburgo, RS, BrazilFeevale Univ, Inst Hlth Sci, Integrated Hlth Specialties Ctr CIES Feevale, R Rubem Berta 200, BR-93525080 Novo Hamburgo, RS, Brazil",NA,"Brazil"
"Parra, Claudio; Munoz-Torres, Patricio; Escobar, Hugo; Simirgiotis, Mario J.; Contreras-Contreras, Gabriela; Ruiz-Fernandez, Alvaro; Maulen, Cristian; Martinez-Cifuentes, Maximiliano; Mariotti-Celis, Maria Salome","Effect of In Vitro Micropropagation on the Chemical, Antioxidant, and Biological Characteristics of Senecio nutans Sch. Bip., an Endemic Plant of the Atacama Desert Andean Region","PLANTS-BASEL","2024.0","10.3390/plants13060755","Article","Univ Concepcion, Fac Ciencias Quim, Dept Quim Organ, Concepcion 4070371, ChileUniv Tarapaca, Fac Ciencias Agron, Arica 1000000, ChileUniv Austral Chile, Fac Ciencias, Inst Farm, Valdivia 5110566, ChileUniv Finis Terrae, Escuela Nutr & Dietet, Fac Med, Santiago 7501015, ChileFdn Ciencia & Vida, Computat Biol Lab, Santiago 8580702, Chile","Fdn Ciencia & Vida","Chile"
"Adetunji, Tomi Lois; Acho, Marvellous Amarachi; Samuel, Victory Oghenetega; Ohoro, Chinemerem Ruth; Ramulondi, Mmbulaheni","Erythrina velutina Willd.: A review of its traditional uses, phytochemistry, pharmacology, and toxicology","JOURNAL OF ETHNOPHARMACOLOGY","2024.0","10.1016/j.jep.2023.117273","Review","North West Univ, Unit Environm Sci & Management, Potchefstroom, South AfricaLandmark Univ, Dept Biochem, Omuaran, Kwara State, NigeriaNorth West Univ, Dept Biochem, ZA-2520 Potchefstroom, South AfricaNorth West Univ, Unit Environm Sci & Management, Water Res Grp, ZA-2520 Potchefstroom, South AfricaUniv Zululand, Fac Sci Agr & Engn, Dept Sci Access, Empangeni, South Africa",NA,"Other"
"Rojas-Molina, Jaime O.; Pino, Jorge A.; Cevallos-Carvajal, Edwin R.; Zambrano-Ochoa, Zoila E.; Vaca-Castro, Carla E.; Molina-Borja, Franklin A.; Mena-Herrera, Karla R.","Essential oil of Minthostachys mollis [HBK] Griseb. leaves from Ecuador: Extraction, chemical composition, antioxidant capacity and antimicrobial activity","BOLETIN LATINOAMERICANO Y DEL CARIBE DE PLANTAS MEDICINALES Y AROMATICAS","2024.0","10.37360/blacpma.24.23.3.30","Article","Univ Tecn Cotopaxi, Fac Ciencias Agr & Recursos Nat, Latacunga, EcuadorInst Invest Ind Alimenticia, Havana, CubaAlimentos Univ La Habana, Dept Alimentos, Inst Farm, Havana, CubaUniv Politecn Estatal Carchi, Fac Ind Agr & Ciencias Ambientales, Carrera Alimentos, Tulcan, Ecuador","Univ Tecn CotopaxiInst Invest Ind AlimenticiaAlimentos Univ La HabanaUniv Politecn Estatal Carchi","Ecuador"
"Salazar-Chacon, Yaclyn; Gutierrez-Bolanos, Maria Jose; Padilla-Cordero, Jimena; Vidaurre-Rodriguez, Camilo; Carvajal-Miranda, Yendry; Rojas-Alvarado, Alexander; Rodriguez-Rodriguez, Jorengeth Abad; Rodriguez-Rodriguez, Gerardo; Alvarez-Valverde, Victor; Jimenez-Bonilla, Pablo","Exploration of photoprotective and antibiotic activity of wild Polypodiaceae ferns from Costa Rica","SCIENTIFIC REPORTS","2024.0","10.1038/s41598-023-50281-3","Article","Univ Nacl, Lab Fitoquim LAFIT, Escuela Quim, Campus Omar Dengo, Heredia 833000, Costa RicaUniv Calif Davis, Agr Chem Dept, Davis, CA 95616 USAUniv Nacl Costa Rica, Campus Omar Dengo, Heredia 833000, Costa RicaUniv Nacl UNA, Lab Biotecnol Microbiana LABIMI, Escuela Ciencias Biol, Campus Omar Dengo, Heredia 833000, Costa RicaUniv Nacl UNA, Lab Prod Nat & Ensayos Biol LAPRONEB, Escuela Quim, Campus Omar Dengo, Heredia 833000, Costa RicaUniv Nacl UNA, Escuela Quim, New Ind Proc Bldg,Omar Dengo Campus, Heredia 40101, Costa Rica",NA,"USA"
"Schiavi, Paulina Cardoso; Svetaz, Laura; Petenatti, Elisa; Sortino, Maximiliano; Tempesti, Tomas C.; Funes, Matias","Extracts of Trichocline sinuata (Asteraceae) as natural sensitizers in the photodynamic inactivation of Candida albicans","PHOTOCHEMISTRY AND PHOTOBIOLOGY","2024.0","10.1111/php.13871","Article","Natl Univ San Luis, Sch Chem Biochem & Pharm, Herbarium & Pharmacognosy, San Luis, ArgentinaNatl Univ Rosario, Sch Biochem & Pharmaceut Sci, Pharmacognosy, Rosario, ArgentinaNatl Univ San Luis, Sch Chem Biochem & Pharm, Pharmacognosy, IMIBIO,CONICET, Ave Ejercito Andes 950, San Luis, ArgentinaUniv Nacl Cordoba, Fac Ciencias Quim, Dept Quim Organ, INFIQC ,CONICET, Cordoba, Argentina",NA,"Argentina"
"Raphaelli, Chirle de Oliveira; Guerra, Divanilde; Pereira, Elisa dos Santos; Vinholes, Juliana da Rocha; Camargo, Taiane Mota; Schwarz, Sergio Francisco; da Silva, Magnolia Aparecida Silva; Vizzotto, Marcia; Zavareze, Elessandra da Rosa; Nora, Leonardo","Fruits, seeds and leaves of guabijuzeiro (Myrcianthes pungens (O. Berg) D. Legrand): characteristics, uses and health benefits","JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE","2024.0","10.1007/s13197-023-05822-z","Review","Univ Fed Pelotas, Fac Agron Eliseu Maciel, Dept Ciencia&Tecnol Agroind, Ave Eliseu Maciel S-N, BR-96160000 Capao Leao, RS, BrazilUniv Estadual Rio Grande Do Sul, Unidade Tres Passos, Tres Passos, RS, BrazilUniv Fed Rio Grande do Sul, Fac Agron, Dept Hort & Silvicultura, Porto Alegre, RS, BrazilEmbrapa Clima Temperado, Pelotas, RS, Brazil",NA,"Brazil"
"Klimek-Szczykutowicz, Marta; Gawel-Beben, Katarzyna; Rutka, Angelika; Blicharska, Eliza; Tatarczak-Michalewska, Malgorzata; Kulik-Siarek, Katarzyna; Kukula-Koch, Wirginia; Malinowska, Magdalena Anna; Szopa, Agnieszka","Moringa oleifera (drumstick tree)-nutraceutical, cosmetological and medicinal importance: a review","FRONTIERS IN PHARMACOLOGY","2024.0","10.3389/fphar.2024.1288382","Review","Jan Kochanowski Univ, Dept Pharmaceut Sci, Coll Medicum, Kielce, PolandUniv Informat Technol & Management Rzeszow, Dept Cosmetol, Rzeszow, PolandJagiellonian Univ, Coll Med, Fac Pharm, Chair & Dept Pharmaceut Bot, Krakow, PolandMed Univ Lublin, Dept Pathobiochem& Interdisciplinary Applicat Ion, Lublin, PolandMed Univ Lublin, Dept Pharmacognosy Med Plants Garden, PL-20093 Lublin, PolandCracow Univ Technol, Fac Chem Engn & Technol, Dept Organ Chem & Technol, Krakow, Poland",NA,"Other"
"Bezerra, Jose Jailson Lima; Pinheiro, Anderson Angel Vieira; Coutinho, Henrique Douglas Melo","Phytochemical and ethnomedicinal evidences of the use of Alternanthera brasiliana (L.) Kuntze against infectious diseases","JOURNAL OF ETHNOPHARMACOLOGY","2024.0","10.1016/j.jep.2024.118304","Article","Univ Fed Pernambuco, Dept Bot, Programa Posgrad Biol Vegetal, Av Engn S-N Cidade Univ, BR-50670420 Recife, PE, BrazilUniv Fed Campina Grande, Ctr Formacao Prof, Rua Sergio Moreira Figueiredo S-N Casas Populares, BR-58900000 Cajazeiras, PB, BrazilReg Univ Cariri URCA, Lab Microbiol & Mol Biol LMBM, Antonio Luiz Ave, BR-63105000 Crato, CE, Brazil",NA,"Brazil"
"Ramirez, Jorge; Gilardoni, Gianluca; Radice, Matteo; Morocho, Vladimir","Phytochemistry, Bioactivity, and Ethnopharmacology of the Genus Lepechinia Willd. (Lamiaceae): A Review","PLANTS-BASEL","2024.0","10.3390/plants13040481","Review","Univ Tecn Particular Loja, Dept Quim, Loja 1101608, EcuadorUniv Bari Aldo Moro, Dept Biosci Biotechnol & Environm, Via E Orabona 4, I-70125 Bari, Italy",NA,"Ecuador"
"Dropa, Milena; da Silva, Jessica Santiago Bispo; Andrade, Andre Furugen Cesar; Nakasone, Denis Hideki; Cunha, Marcos Paulo Vieira; Ribeiro, Gesiane; de Araujo, Ronalda Silva; Brandao, Carlos Jesus; Ghiglione, Barbara; Lincopan, Nilton; Sato, Maria Ines Zanoli; Knobl, Terezinha","Spread and persistence of antimicrobial resistance genes in wastewater from human and animal sources in São Paulo, Brazil","TROPICAL MEDICINE & INTERNATIONAL HEALTH","2024.0","10.1111/tmi.13986","Article","Univ Sao Paulo, Sch Publ Hlth, Dept Environm Hlth, Sao Paulo, BrazilUniv Sao Paulo, Sch Vet Med & Anim Sci, Dept Pathol, Sao Paulo, BrazilFMU Univ Ctr, Vet Hosp, Dept Vet Med, Sao Paulo, BrazilEnvironm Co Sao Paulo State CETESB, Dept Environm Anal, Sao Paulo, BrazilUniv Buenos Aires UBA, Sch Pharm & Biochem FFyB, Dept Microbiol Immunol Biotechnol & Genet, Buenos Aires, ArgentinaUniv Sao Paulo, Inst Biomed Sci, Dept Microbiol, Sao Paulo, BrazilUniv Sao Paulo, Fac Publ Hlth, Sao Paulo, Brazil","FMU Univ CtrEnvironm Co Sao Paulo State CETESB","Brazil"
"de Macedo, Ana Rafaela Silva; de Oliveira, Joyce Fernanda Assis; Sommerfeld, Simone; Notario, Fabiana Oliveira; Martins, Mario Machado; Bastos, Luciana Machado; Bezerra, Breno Gustavo Porfirio; Lisboa, Lucas dos Santos; Rocha, Hugo Alexandre Oliveira; Araujo, Renata Mendonca; Medeiros-Ronchi, Alessandra Aparecida; Azevedo, Vasco; Fonseca, Belchiolina Beatriz","Unlocking the power of Libidibia ferrea extracts: antimicrobial, antioxidant, and protective properties for potential use in poultry production","POULTRY SCIENCE","2024.0","10.1016/j.psj.2024.103668","Article","Univ Fed Uberlandia, Fac Vet Med, Uberlandia, MG, BrazilUniv Fed Rio Grande do Norte, Inst Chem, Natal, RN, BrazilUniv Fed Uberlandia, Biotechnol Inst, Uberlandia, MG, BrazilFed Univ Rio Grande De Norte, Dept Biochem, Natal, RN, BrazilUniv Fed Minas Gerais, Dept Genet Ecol & Evolut, Belo Horizonte, MG, BrazilUniv Fed Bahia, Postgrad Program Anim Sci Trop, Salvador, Ba, Brazil","Fed Univ Rio Grande De Norte","Brazil"
"Salazar, Paula B.; Fanzone, Martin; Zabala, Brenda A.; Rodriguez Vaquero, Maria J.; Cilli, Eduardo; Barroso, Paola A.; Minahk, Carlos; Acuna, Leonardo","A byproduct from the Valles Calchaquies vineyards (Argentina) rich in phenolic compounds: a tool against endemic Leishmania dissemination","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","2023.0","10.1007/s11356-023-29276-0","Article","Inst Super Invest Biol INSIBIO, T4000ILI, San Miguel De Tucuman, ArgentinaInst Quim Biol Dr Bernabe Bloj, Fac Bioquim Quim & Farm, UNT Chacabuco 461, RA-T4000ILI San Miguel De Tucuman, ArgentinaInst Nacl Tecnol Agr, EEA Mendoza INTA Estn Expt Agr Mendoza, Mayor Drummond 5507, RA-3853 Mendoza, ArgentinaUniv Nacl Salta UNSa, Un Biotecnol & Protozoarios, Inst Patol Expt Dr Miguel Angel Basombrio, CONICET, A4408FVY, RA-4408 Salta, ArgentinaUniv Nacl Tucuman, Fac Bioquim Quim & Farm, RA-491 San Miguel De Tucuman, ArgentinaUniv Estadual Paulista, Dept Bioquim & Tecnol Quim, Inst Quim, UNESP, Araraquara, SP, Brazil","Inst Super Invest Biol INSIBIOInst Quim Biol Dr Bernabe Bloj","Brazil"
"Guerrini, Alessandra; Tacchini, Massimo; Chiocchio, Ilaria; Grandini, Alessandro; Radice, Matteo; Maresca, Immacolata; Paganetto, Guglielmo; Sacchetti, Gianni","A Comparative Study on Chemical Compositions and Biological Activities of Four Amazonian Ecuador Essential Oils: Curcuma longa L. (Zingiberaceae), Cymbopogon citratus (DC.) Stapf, (Poaceae), Ocimum campechianum Mill. (Lamiaceae), and Zingiber officinale Roscoe (Zingiberaceae)","ANTIBIOTICS-BASEL","2023.0","10.3390/antibiotics12010177","Article","Univ Ferrara, Dept Life Sci & Biotechnol, Res Unit 7, Pharmaceut Biol Lab,Terra&Acqua Tech Technopole L, Ple Luciano Chiappini 2, I-44123 Ferrara, ItalyUniv Bologna, Dept Pharm & Biotechnol, Alma Mater Studiorum, Via Irnerio 42, I-40126 Bologna, ItalyUniv Estatal Amazon, Fac Earth Sci, Dept Ciencia Tierra, Km 2 1/2 Via Puyo Tena, Puyo 160150, Ecuador","Univ Estatal Amazon","Ecuador"
"Bianchi, Sara Elis; Meirelles, Gabriela de Carvalho; Raabe, Victorya Benes; de Souza, Kellen Cristhinia Borges; Bassani, Valquiria Linck","Achyrocline satureioides review: From the pharmacochemical diversity to the technological development of products","FITOTERAPIA","2023.0","10.1016/j.fitote.2023.105537","Review","Univ Fed Rio Grande, Programa Posgraduacao Ciencias Farmaceut, Porto Alegre, Rio Grande do S, BrazilUniv Fed Ciencias Saude Porto Alegre, Dept Farmacociencias, Porto Alegre, Rio Grande do S, BrazilAv Ipiranga 2752, BR-90610000 Porto Alegre, Brazil",NA,"Brazil"
"Lipinska, Monika M. M.; Halinski, Lukasz P.; Golebiowski, Marek; Kowalkowska, Agnieszka K. K.","Active Compounds with Medicinal Potential Found in Maxillariinae Benth. (Orchidaceae Juss.) Representatives-A Review","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","2023.0","10.3390/ijms24010739","Review","Univ Gdansk, Fac Biol, Dept Plant Taxon & Nat Conservat, Wita Stwosza 59, PL-80308 Gdansk, PolandFdn Polish Orchid Assoc, PL-81825 Sopot, PolandUniv Gdansk, Fac Chem, Dept Environm Analyt, Lab Anal Nat Cpds, Wita Stwosza 63, PL-80308 Gdansk, PolandUniv Gdansk, Fac Biol, Dept Plant Cytol & Embryol, Wita Stwosza 59, PL-80308 Gdansk, Poland","Fdn Polish Orchid Assoc","Other"
"Chamas, Jose Martinez; Isla, Maria Ines; Zampini, Iris Catiana","Antibacterial and Antibiofilm Activity of Different Species of Fabiana sp. Extract Obtained via Maceration and Ultrasound-Assisted Extraction against Staphylococcus epidermidis","PLANTS-BASEL","2023.0","10.3390/plants12091830","Article","Univ Nacl Tucuman, Fac Ciencias Nat, Lab Invest Prod Nat LIPRON, Inst Bioprospecc & Fisiol Vegetal INBIOFIV CONICET, San Lorenzo 1469, RA-4000 San Miguel De Tucuman, Tucuman, ArgentinaUniv Nacl Tucuman, IML, San Lorenzo 1469, RA-4000 San Miguel De Tucuman, Tucuman, Argentina",NA,"Argentina"
"Poulsen-Silva, Erick; Gordillo-Fuenzalida, Felipe; Velasquez, Patricia; Llancalahuen, Felipe M.; Carvajal, Rodrigo; Cabana-Brunod, Mauricio; Otero, Maria Carolina","Antimicrobial, Antioxidant, and Anti-Inflammatory Properties of Monofloral Honeys from Chile","ANTIOXIDANTS","2023.0","10.3390/antiox12091785","Review","Univ Andres Bello, Escuela Quim & Farm, Fac Med, Echaurren 183, Santiago 8370071, ChileUniv Catolica Maule, Fac Ciencias Agr & Forestales, Ctr Biotecnol Recursos Nat CENBIO, Lab Microbiol Aplicada, Avda San Miguel 3605, Talca 3530000, ChileUniv Andres Bello, Fac Ciencias Exactas, Dept Ciencias Quim, Lab Comp Bioact, Republ 330, Santiago 8370134, ChileUniv Andres Bello, Fac Life Sci, Lab Integrat Physiopathol, Santiago 8370134, ChileMillennium Inst Immunol & Immunotherapy, Santiago 8331150, Chile","Millennium Inst Immunol & Immunotherapy","Chile"
"Veron, Hernan E.; Contreras, Luciana; Isla, Maria Ines; Torres, Sebastian","Assessment of technological and functional features of Lactiplantibacillus and Fructobacillus strains isolated from Opuntia ficus-indica fruits","NFS JOURNAL","2023.0","10.1016/j.nfs.2023.04.003","Article","Inst Bioprospecc & Fisiol Vegetal INBIOFIV CONICET, San Miguel De Tucuman, Tucuman, ArgentinaUniv Nacl Tucuman, Fac Ciencias Nat IML, San Miguel De Tucuman, ArgentinaUniv Nacl Tucuman, INBIOFIV, CONICET, San Lorenzo 1469, RA-4000 San Miguel de Tucuman, Argentina","Inst Bioprospecc & Fisiol Vegetal INBIOFIV CONICET","Argentina"
